style,intensity,topic,caption
sarcastic,0.52,procrastination,I love how procrastination ruins everything.
wholesome,0.49,side hustles,"No matter what, side hustles doesn’t define your worth."
dark,0.23,burnout,burnout never forgets. Never forgives.
genz,0.43,college life,college life but make it emotionally exhausting.
sarcastic,0.74,meetings,Nothing screams success like meetings.
dark,0.22,salary negotiations,"Another day, another round of salary negotiations."
dark,0.32,startups,"Another day, another round of startups."
corporate,0.76,work-life balance,Aligning stakeholders around work-life balance.
sarcastic,0.73,interviews,I love how interviews ruins everything.
genz,0.22,exams,exams but make it emotionally exhausting.
sarcastic,0.53,performance reviews,"performance reviews? Yeah, what could possibly go wrong."
wholesome,0.21,startups,"No matter what, startups doesn’t define your worth."
sarcastic,0.75,office politics,"Oh sure, because office politics always works perfectly."
dark,0.65,college life,"Eventually, college life gets us all."
genz,0.89,performance reviews,performance reviews is literally my villain origin story
sarcastic,0.97,waking up early,"Oh sure, because waking up early always works perfectly."
genz,0.89,college life,college life is literally my villain origin story
corporate,0.7,job applications,Driving synergies to resolve job applications.
genz,0.57,emails,emails but make it emotionally exhausting.
dark,0.89,side hustles,"Eventually, side hustles gets us all."
wholesome,0.99,waking up early,"waking up early is hard, but you’re doing your best."
dark,0.87,salary negotiations,salary negotiations never forgets. Never forgives.
wholesome,0.7,job applications,One step at a time with job applications. You’ve got this.
corporate,0.28,meetings,Leveraging meetings for improved outcomes.
dark,0.25,work-life balance,work-life balance is just a reminder that time is winning.
wholesome,0.44,job applications,One step at a time with job applications. You’ve got this.
wholesome,0.5,procrastination,"procrastination is hard, but you’re doing your best."
genz,0.56,salary negotiations,salary negotiations but make it emotionally exhausting.
sarcastic,0.41,salary negotiations,I love how salary negotiations ruins everything.
genz,0.86,group projects,group projects?? nah bestie
genz,0.76,meetings,meetings but make it emotionally exhausting.
sarcastic,0.55,job applications,"job applications? Yeah, what could possibly go wrong."
genz,0.38,interviews,me dealing with interviews: absolutely not.
sarcastic,0.92,group projects,Nothing screams success like group projects.
corporate,0.48,interviews,Aligning stakeholders around interviews.
corporate,0.27,side hustles,Leveraging side hustles for improved outcomes.
sarcastic,0.72,procrastination,"Oh sure, because procrastination always works perfectly."
corporate,0.73,emails,Aligning stakeholders around emails.
genz,0.83,interviews,interviews but make it emotionally exhausting.
genz,0.36,waking up early,me dealing with waking up early: absolutely not.
corporate,0.5,burnout,Leveraging burnout for improved outcomes.
corporate,0.51,burnout,Leveraging burnout for improved outcomes.
genz,0.73,side hustles,side hustles?? nah bestie
genz,0.69,monday mornings,monday mornings but make it emotionally exhausting.
corporate,0.81,monday mornings,Optimizing bandwidth to address monday mornings.
genz,0.93,interviews,interviews is literally my villain origin story
dark,0.6,emails,emails is just a reminder that time is winning.
sarcastic,0.76,emails,"emails? Yeah, what could possibly go wrong."
dark,0.66,long commutes,"Eventually, long commutes gets us all."
corporate,0.59,long commutes,Optimizing bandwidth to address long commutes.
wholesome,0.28,startups,You’re stronger than startups.
corporate,0.99,work-life balance,Aligning stakeholders around work-life balance.
wholesome,0.87,salary negotiations,One step at a time with salary negotiations. You’ve got this.
dark,0.48,procrastination,"Another day, another round of procrastination."
wholesome,0.46,exams,"exams is hard, but you’re doing your best."
corporate,0.85,office politics,Driving synergies to resolve office politics.
corporate,0.69,presentations,Aligning stakeholders around presentations.
sarcastic,0.56,presentations,Nothing screams success like presentations.
sarcastic,0.93,interviews,"interviews? Yeah, what could possibly go wrong."
sarcastic,0.6,presentations,Nothing screams success like presentations.
genz,0.84,exams,exams but make it emotionally exhausting.
genz,1.0,procrastination,me dealing with procrastination: absolutely not.
genz,0.9,interviews,me dealing with interviews: absolutely not.
dark,0.33,performance reviews,"Another day, another round of performance reviews."
genz,0.26,group projects,me dealing with group projects: absolutely not.
sarcastic,0.77,job applications,"Oh sure, because job applications always works perfectly."
corporate,0.73,waking up early,Leveraging waking up early for improved outcomes.
genz,0.59,long commutes,long commutes is literally my villain origin story
genz,0.88,interviews,interviews?? nah bestie
sarcastic,0.4,burnout,I love how burnout ruins everything.
wholesome,0.8,performance reviews,You’re stronger than performance reviews.
dark,0.2,deadlines,"Eventually, deadlines gets us all."
sarcastic,0.7,college life,I love how college life ruins everything.
wholesome,0.57,procrastination,You’re stronger than procrastination.
sarcastic,0.66,burnout,"Oh sure, because burnout always works perfectly."
genz,0.47,side hustles,side hustles but make it emotionally exhausting.
corporate,0.89,deadlines,Optimizing bandwidth to address deadlines.
dark,0.62,deadlines,deadlines never forgets. Never forgives.
corporate,0.69,job applications,Optimizing bandwidth to address job applications.
genz,0.62,job applications,job applications but make it emotionally exhausting.
dark,0.41,monday mornings,monday mornings never forgets. Never forgives.
dark,0.87,long commutes,"Another day, another round of long commutes."
dark,0.92,procrastination,"Eventually, procrastination gets us all."
dark,0.45,procrastination,"Another day, another round of procrastination."
genz,0.6,presentations,presentations?? nah bestie
genz,0.32,monday mornings,monday mornings is literally my villain origin story
wholesome,0.82,deadlines,One step at a time with deadlines. You’ve got this.
dark,0.52,meetings,"Eventually, meetings gets us all."
genz,0.96,office politics,office politics but make it emotionally exhausting.
sarcastic,0.62,job applications,Nothing screams success like job applications.
genz,0.6,long commutes,long commutes but make it emotionally exhausting.
corporate,0.48,monday mornings,Driving synergies to resolve monday mornings.
sarcastic,0.49,work-life balance,I love how work-life balance ruins everything.
corporate,0.6,meetings,Aligning stakeholders around meetings.
dark,0.9,long commutes,long commutes never forgets. Never forgives.
wholesome,0.5,long commutes,You’re stronger than long commutes.
wholesome,0.31,college life,"college life is hard, but you’re doing your best."
corporate,0.9,monday mornings,Aligning stakeholders around monday mornings.
sarcastic,0.78,procrastination,"Oh sure, because procrastination always works perfectly."
sarcastic,0.62,group projects,"group projects? Yeah, what could possibly go wrong."
sarcastic,0.41,meetings,"meetings? Yeah, what could possibly go wrong."
wholesome,0.79,job applications,One step at a time with job applications. You’ve got this.
sarcastic,0.56,waking up early,I love how waking up early ruins everything.
genz,0.96,waking up early,waking up early but make it emotionally exhausting.
genz,0.66,exams,me dealing with exams: absolutely not.
wholesome,0.93,deadlines,One step at a time with deadlines. You’ve got this.
genz,0.67,salary negotiations,salary negotiations?? nah bestie
sarcastic,0.48,side hustles,"side hustles? Yeah, what could possibly go wrong."
corporate,0.98,office politics,Aligning stakeholders around office politics.
wholesome,0.23,group projects,"group projects is hard, but you’re doing your best."
sarcastic,0.59,work-life balance,"Oh sure, because work-life balance always works perfectly."
dark,0.34,interviews,interviews is just a reminder that time is winning.
corporate,0.3,monday mornings,Optimizing bandwidth to address monday mornings.
genz,0.86,performance reviews,me dealing with performance reviews: absolutely not.
wholesome,0.76,long commutes,One step at a time with long commutes. You’ve got this.
wholesome,0.5,procrastination,"No matter what, procrastination doesn’t define your worth."
sarcastic,0.72,presentations,"Oh sure, because presentations always works perfectly."
wholesome,0.72,salary negotiations,"salary negotiations is hard, but you’re doing your best."
dark,0.21,startups,"Eventually, startups gets us all."
corporate,0.28,group projects,Optimizing bandwidth to address group projects.
wholesome,0.74,burnout,One step at a time with burnout. You’ve got this.
genz,0.3,long commutes,me dealing with long commutes: absolutely not.
corporate,0.49,procrastination,Optimizing bandwidth to address procrastination.
wholesome,0.51,salary negotiations,"No matter what, salary negotiations doesn’t define your worth."
genz,0.98,monday mornings,monday mornings is literally my villain origin story
dark,0.47,emails,emails never forgets. Never forgives.
corporate,0.36,emails,Optimizing bandwidth to address emails.
dark,0.42,waking up early,"Another day, another round of waking up early."
wholesome,0.34,emails,"emails is hard, but you’re doing your best."
genz,0.71,job applications,job applications is literally my villain origin story
wholesome,0.85,monday mornings,One step at a time with monday mornings. You’ve got this.
wholesome,0.48,exams,"exams is hard, but you’re doing your best."
wholesome,0.66,work-life balance,"No matter what, work-life balance doesn’t define your worth."
sarcastic,0.45,emails,Nothing screams success like emails.
sarcastic,0.85,monday mornings,"Oh sure, because monday mornings always works perfectly."
corporate,0.94,performance reviews,Optimizing bandwidth to address performance reviews.
dark,0.38,work-life balance,"Another day, another round of work-life balance."
genz,0.55,monday mornings,monday mornings?? nah bestie
genz,0.69,presentations,presentations is literally my villain origin story
corporate,0.81,emails,Aligning stakeholders around emails.
dark,0.25,long commutes,"Another day, another round of long commutes."
wholesome,0.28,monday mornings,You’re stronger than monday mornings.
corporate,0.76,job applications,Aligning stakeholders around job applications.
genz,0.45,salary negotiations,me dealing with salary negotiations: absolutely not.
sarcastic,0.64,meetings,I love how meetings ruins everything.
dark,0.79,burnout,burnout never forgets. Never forgives.
wholesome,0.38,work-life balance,One step at a time with work-life balance. You’ve got this.
dark,0.37,interviews,interviews never forgets. Never forgives.
wholesome,0.2,work-life balance,You’re stronger than work-life balance.
wholesome,0.35,procrastination,"No matter what, procrastination doesn’t define your worth."
sarcastic,0.28,group projects,Nothing screams success like group projects.
wholesome,0.54,deadlines,One step at a time with deadlines. You’ve got this.
sarcastic,0.45,side hustles,"Oh sure, because side hustles always works perfectly."
wholesome,0.66,work-life balance,"No matter what, work-life balance doesn’t define your worth."
corporate,0.87,office politics,Aligning stakeholders around office politics.
corporate,0.99,salary negotiations,Driving synergies to resolve salary negotiations.
sarcastic,0.34,burnout,Nothing screams success like burnout.
genz,0.52,salary negotiations,me dealing with salary negotiations: absolutely not.
dark,0.54,monday mornings,monday mornings is just a reminder that time is winning.
wholesome,0.33,burnout,One step at a time with burnout. You’ve got this.
wholesome,0.86,deadlines,You’re stronger than deadlines.
sarcastic,0.2,monday mornings,Nothing screams success like monday mornings.
corporate,1.0,office politics,Aligning stakeholders around office politics.
corporate,0.7,job applications,Driving synergies to resolve job applications.
sarcastic,0.59,office politics,"office politics? Yeah, what could possibly go wrong."
genz,0.45,burnout,burnout is literally my villain origin story
wholesome,0.89,startups,"No matter what, startups doesn’t define your worth."
corporate,0.89,exams,Optimizing bandwidth to address exams.
wholesome,0.71,procrastination,One step at a time with procrastination. You’ve got this.
wholesome,0.54,job applications,"job applications is hard, but you’re doing your best."
dark,0.56,procrastination,procrastination is just a reminder that time is winning.
corporate,0.91,office politics,Leveraging office politics for improved outcomes.
corporate,0.45,procrastination,Optimizing bandwidth to address procrastination.
wholesome,0.63,job applications,One step at a time with job applications. You’ve got this.
corporate,0.96,meetings,Driving synergies to resolve meetings.
dark,0.35,work-life balance,"Eventually, work-life balance gets us all."
corporate,0.65,salary negotiations,Leveraging salary negotiations for improved outcomes.
corporate,0.78,interviews,Optimizing bandwidth to address interviews.
dark,0.54,office politics,"Eventually, office politics gets us all."
genz,0.25,long commutes,long commutes but make it emotionally exhausting.
genz,0.64,group projects,group projects but make it emotionally exhausting.
genz,0.73,deadlines,deadlines is literally my villain origin story
dark,0.24,deadlines,deadlines is just a reminder that time is winning.
sarcastic,0.64,meetings,"meetings? Yeah, what could possibly go wrong."
sarcastic,0.25,startups,Nothing screams success like startups.
wholesome,0.78,presentations,"presentations is hard, but you’re doing your best."
genz,0.79,presentations,presentations is literally my villain origin story
corporate,0.23,college life,Aligning stakeholders around college life.
genz,0.74,office politics,me dealing with office politics: absolutely not.
wholesome,0.76,burnout,"burnout is hard, but you’re doing your best."
genz,0.86,interviews,interviews is literally my villain origin story
sarcastic,0.96,burnout,"Oh sure, because burnout always works perfectly."
wholesome,0.54,procrastination,You’re stronger than procrastination.
wholesome,0.49,deadlines,You’re stronger than deadlines.
genz,0.55,job applications,job applications but make it emotionally exhausting.
genz,0.41,presentations,presentations but make it emotionally exhausting.
dark,0.76,office politics,"Eventually, office politics gets us all."
dark,0.73,deadlines,"Another day, another round of deadlines."
genz,0.95,startups,startups but make it emotionally exhausting.
sarcastic,0.21,long commutes,I love how long commutes ruins everything.
sarcastic,0.94,performance reviews,"Oh sure, because performance reviews always works perfectly."
genz,0.35,group projects,group projects?? nah bestie
corporate,0.54,meetings,Driving synergies to resolve meetings.
corporate,0.45,procrastination,Optimizing bandwidth to address procrastination.
dark,0.23,interviews,interviews is just a reminder that time is winning.
corporate,0.43,college life,Driving synergies to resolve college life.
genz,0.27,interviews,interviews is literally my villain origin story
corporate,0.46,salary negotiations,Optimizing bandwidth to address salary negotiations.
dark,0.56,performance reviews,"Eventually, performance reviews gets us all."
dark,0.35,procrastination,procrastination is just a reminder that time is winning.
sarcastic,0.55,college life,Nothing screams success like college life.
dark,0.41,burnout,"Another day, another round of burnout."
sarcastic,0.98,waking up early,"waking up early? Yeah, what could possibly go wrong."
wholesome,0.68,side hustles,One step at a time with side hustles. You’ve got this.
genz,0.47,office politics,office politics but make it emotionally exhausting.
sarcastic,0.23,performance reviews,Nothing screams success like performance reviews.
genz,0.35,presentations,presentations?? nah bestie
wholesome,0.43,presentations,You’re stronger than presentations.
sarcastic,0.86,salary negotiations,"Oh sure, because salary negotiations always works perfectly."
dark,0.54,procrastination,procrastination never forgets. Never forgives.
wholesome,0.32,long commutes,One step at a time with long commutes. You’ve got this.
genz,0.87,performance reviews,performance reviews is literally my villain origin story
sarcastic,0.32,emails,I love how emails ruins everything.
dark,0.48,meetings,meetings is just a reminder that time is winning.
genz,0.26,college life,me dealing with college life: absolutely not.
dark,0.98,startups,startups never forgets. Never forgives.
sarcastic,0.73,college life,I love how college life ruins everything.
genz,0.69,side hustles,side hustles?? nah bestie
sarcastic,0.49,procrastination,Nothing screams success like procrastination.
corporate,0.59,group projects,Leveraging group projects for improved outcomes.
wholesome,0.5,exams,"exams is hard, but you’re doing your best."
dark,0.92,college life,"Eventually, college life gets us all."
sarcastic,0.5,office politics,"office politics? Yeah, what could possibly go wrong."
dark,0.91,deadlines,"Another day, another round of deadlines."
genz,0.54,college life,college life is literally my villain origin story
sarcastic,0.32,work-life balance,Nothing screams success like work-life balance.
dark,0.8,interviews,interviews is just a reminder that time is winning.
dark,0.89,waking up early,"Another day, another round of waking up early."
corporate,0.86,waking up early,Leveraging waking up early for improved outcomes.
wholesome,0.47,exams,"exams is hard, but you’re doing your best."
corporate,0.37,monday mornings,Optimizing bandwidth to address monday mornings.
sarcastic,0.6,presentations,"presentations? Yeah, what could possibly go wrong."
wholesome,0.86,presentations,"No matter what, presentations doesn’t define your worth."
corporate,0.23,startups,Optimizing bandwidth to address startups.
corporate,0.21,college life,Optimizing bandwidth to address college life.
dark,0.3,office politics,office politics never forgets. Never forgives.
genz,0.57,exams,exams but make it emotionally exhausting.
sarcastic,0.21,office politics,"Oh sure, because office politics always works perfectly."
wholesome,0.93,interviews,"interviews is hard, but you’re doing your best."
corporate,0.92,interviews,Driving synergies to resolve interviews.
wholesome,0.47,college life,"No matter what, college life doesn’t define your worth."
dark,0.68,work-life balance,"Another day, another round of work-life balance."
wholesome,0.73,performance reviews,"No matter what, performance reviews doesn’t define your worth."
corporate,1.0,procrastination,Leveraging procrastination for improved outcomes.
wholesome,0.33,burnout,One step at a time with burnout. You’ve got this.
genz,0.3,burnout,burnout is literally my villain origin story
corporate,0.3,emails,Aligning stakeholders around emails.
genz,0.4,performance reviews,performance reviews?? nah bestie
genz,0.48,group projects,group projects is literally my villain origin story
sarcastic,0.92,long commutes,Nothing screams success like long commutes.
corporate,0.75,office politics,Aligning stakeholders around office politics.
sarcastic,0.25,salary negotiations,"Oh sure, because salary negotiations always works perfectly."
wholesome,0.75,meetings,One step at a time with meetings. You’ve got this.
dark,0.42,presentations,"Eventually, presentations gets us all."
sarcastic,0.26,long commutes,"Oh sure, because long commutes always works perfectly."
corporate,0.99,emails,Leveraging emails for improved outcomes.
genz,0.48,waking up early,me dealing with waking up early: absolutely not.
dark,0.95,college life,"Eventually, college life gets us all."
dark,0.78,office politics,"Another day, another round of office politics."
sarcastic,0.8,work-life balance,Nothing screams success like work-life balance.
wholesome,0.59,office politics,"office politics is hard, but you’re doing your best."
dark,0.32,emails,emails is just a reminder that time is winning.
sarcastic,0.76,salary negotiations,I love how salary negotiations ruins everything.
sarcastic,0.81,procrastination,Nothing screams success like procrastination.
dark,0.35,job applications,job applications never forgets. Never forgives.
corporate,0.94,college life,Optimizing bandwidth to address college life.
corporate,0.74,emails,Optimizing bandwidth to address emails.
wholesome,0.21,waking up early,"No matter what, waking up early doesn’t define your worth."
sarcastic,0.79,emails,"emails? Yeah, what could possibly go wrong."
genz,0.8,meetings,meetings is literally my villain origin story
wholesome,0.6,interviews,You’re stronger than interviews.
wholesome,0.31,group projects,One step at a time with group projects. You’ve got this.
dark,0.99,job applications,job applications is just a reminder that time is winning.
dark,0.47,performance reviews,"Another day, another round of performance reviews."
wholesome,0.69,exams,One step at a time with exams. You’ve got this.
sarcastic,0.97,exams,Nothing screams success like exams.
wholesome,0.72,work-life balance,"No matter what, work-life balance doesn’t define your worth."
genz,0.47,monday mornings,monday mornings is literally my villain origin story
wholesome,0.85,side hustles,You’re stronger than side hustles.
sarcastic,0.48,interviews,"interviews? Yeah, what could possibly go wrong."
sarcastic,0.48,procrastination,"procrastination? Yeah, what could possibly go wrong."
wholesome,0.46,job applications,"job applications is hard, but you’re doing your best."
wholesome,0.27,side hustles,One step at a time with side hustles. You’ve got this.
wholesome,0.65,deadlines,"No matter what, deadlines doesn’t define your worth."
wholesome,0.91,job applications,"job applications is hard, but you’re doing your best."
corporate,0.83,group projects,Driving synergies to resolve group projects.
sarcastic,0.92,work-life balance,"Oh sure, because work-life balance always works perfectly."
sarcastic,0.98,side hustles,Nothing screams success like side hustles.
wholesome,0.41,startups,"No matter what, startups doesn’t define your worth."
corporate,0.32,presentations,Aligning stakeholders around presentations.
dark,0.65,office politics,office politics is just a reminder that time is winning.
wholesome,0.69,performance reviews,You’re stronger than performance reviews.
wholesome,0.87,deadlines,You’re stronger than deadlines.
dark,0.3,waking up early,waking up early is just a reminder that time is winning.
genz,0.91,job applications,me dealing with job applications: absolutely not.
sarcastic,0.55,exams,"Oh sure, because exams always works perfectly."
genz,0.86,long commutes,long commutes?? nah bestie
wholesome,0.84,procrastination,You’re stronger than procrastination.
genz,0.57,deadlines,deadlines is literally my villain origin story
sarcastic,0.65,monday mornings,"monday mornings? Yeah, what could possibly go wrong."
sarcastic,0.31,college life,"college life? Yeah, what could possibly go wrong."
dark,0.27,interviews,interviews never forgets. Never forgives.
wholesome,0.51,salary negotiations,"salary negotiations is hard, but you’re doing your best."
wholesome,0.33,office politics,You’re stronger than office politics.
sarcastic,0.88,emails,Nothing screams success like emails.
sarcastic,0.26,procrastination,Nothing screams success like procrastination.
wholesome,0.45,burnout,One step at a time with burnout. You’ve got this.
wholesome,0.86,waking up early,"waking up early is hard, but you’re doing your best."
genz,0.56,office politics,office politics?? nah bestie
sarcastic,0.48,emails,"Oh sure, because emails always works perfectly."
dark,0.65,side hustles,"Another day, another round of side hustles."
genz,0.38,salary negotiations,me dealing with salary negotiations: absolutely not.
corporate,0.53,college life,Driving synergies to resolve college life.
dark,0.52,procrastination,procrastination is just a reminder that time is winning.
wholesome,0.81,meetings,One step at a time with meetings. You’ve got this.
dark,0.51,college life,college life never forgets. Never forgives.
dark,0.96,salary negotiations,salary negotiations never forgets. Never forgives.
corporate,0.69,meetings,Aligning stakeholders around meetings.
corporate,0.56,emails,Driving synergies to resolve emails.
wholesome,0.91,monday mornings,"monday mornings is hard, but you’re doing your best."
corporate,0.76,office politics,Leveraging office politics for improved outcomes.
dark,0.39,job applications,job applications never forgets. Never forgives.
corporate,0.2,burnout,Aligning stakeholders around burnout.
dark,0.52,monday mornings,monday mornings never forgets. Never forgives.
genz,0.97,burnout,burnout?? nah bestie
corporate,0.72,waking up early,Aligning stakeholders around waking up early.
dark,0.3,group projects,"Another day, another round of group projects."
sarcastic,0.27,long commutes,Nothing screams success like long commutes.
genz,0.39,waking up early,waking up early but make it emotionally exhausting.
corporate,0.61,office politics,Leveraging office politics for improved outcomes.
dark,0.94,presentations,presentations never forgets. Never forgives.
genz,0.85,meetings,meetings is literally my villain origin story
corporate,0.35,work-life balance,Optimizing bandwidth to address work-life balance.
genz,0.56,procrastination,procrastination?? nah bestie
genz,0.81,startups,startups?? nah bestie
sarcastic,0.22,interviews,"Oh sure, because interviews always works perfectly."
corporate,0.88,monday mornings,Optimizing bandwidth to address monday mornings.
sarcastic,0.91,meetings,I love how meetings ruins everything.
wholesome,0.39,long commutes,One step at a time with long commutes. You’ve got this.
sarcastic,0.72,job applications,"Oh sure, because job applications always works perfectly."
dark,0.27,college life,"Another day, another round of college life."
sarcastic,0.68,procrastination,Nothing screams success like procrastination.
dark,0.96,procrastination,"Eventually, procrastination gets us all."
corporate,0.87,meetings,Driving synergies to resolve meetings.
genz,0.55,procrastination,procrastination?? nah bestie
dark,0.26,presentations,"Another day, another round of presentations."
wholesome,0.24,side hustles,You’re stronger than side hustles.
sarcastic,0.91,interviews,I love how interviews ruins everything.
wholesome,0.67,job applications,You’re stronger than job applications.
sarcastic,0.53,meetings,"meetings? Yeah, what could possibly go wrong."
sarcastic,0.78,exams,Nothing screams success like exams.
genz,0.47,side hustles,side hustles?? nah bestie
genz,0.48,emails,emails but make it emotionally exhausting.
genz,0.64,office politics,office politics?? nah bestie
corporate,0.35,job applications,Leveraging job applications for improved outcomes.
dark,0.32,startups,startups never forgets. Never forgives.
dark,0.49,college life,college life is just a reminder that time is winning.
dark,0.6,waking up early,"Eventually, waking up early gets us all."
genz,0.48,emails,me dealing with emails: absolutely not.
corporate,0.55,startups,Driving synergies to resolve startups.
sarcastic,0.35,interviews,I love how interviews ruins everything.
corporate,0.44,startups,Optimizing bandwidth to address startups.
wholesome,0.9,side hustles,One step at a time with side hustles. You’ve got this.
dark,0.45,interviews,interviews never forgets. Never forgives.
dark,0.96,burnout,burnout is just a reminder that time is winning.
sarcastic,0.41,presentations,Nothing screams success like presentations.
sarcastic,0.75,long commutes,I love how long commutes ruins everything.
genz,0.25,side hustles,side hustles?? nah bestie
sarcastic,0.93,deadlines,"Oh sure, because deadlines always works perfectly."
wholesome,0.21,procrastination,"procrastination is hard, but you’re doing your best."
genz,0.7,interviews,interviews is literally my villain origin story
wholesome,0.9,group projects,"group projects is hard, but you’re doing your best."
wholesome,0.3,office politics,"No matter what, office politics doesn’t define your worth."
wholesome,0.82,meetings,"No matter what, meetings doesn’t define your worth."
dark,0.57,office politics,"Another day, another round of office politics."
dark,0.76,side hustles,side hustles is just a reminder that time is winning.
corporate,0.87,side hustles,Aligning stakeholders around side hustles.
dark,0.35,burnout,"Another day, another round of burnout."
corporate,0.84,deadlines,Driving synergies to resolve deadlines.
corporate,0.64,college life,Leveraging college life for improved outcomes.
wholesome,0.38,college life,"college life is hard, but you’re doing your best."
sarcastic,0.91,side hustles,Nothing screams success like side hustles.
genz,0.53,salary negotiations,salary negotiations?? nah bestie
genz,0.38,waking up early,waking up early but make it emotionally exhausting.
dark,0.67,performance reviews,"Another day, another round of performance reviews."
dark,0.67,startups,startups is just a reminder that time is winning.
genz,0.87,long commutes,long commutes?? nah bestie
genz,0.24,startups,me dealing with startups: absolutely not.
corporate,0.8,burnout,Leveraging burnout for improved outcomes.
wholesome,0.74,group projects,You’re stronger than group projects.
sarcastic,0.97,college life,Nothing screams success like college life.
genz,0.56,performance reviews,me dealing with performance reviews: absolutely not.
wholesome,0.36,meetings,"No matter what, meetings doesn’t define your worth."
sarcastic,0.99,performance reviews,Nothing screams success like performance reviews.
corporate,0.82,long commutes,Optimizing bandwidth to address long commutes.
genz,0.38,work-life balance,work-life balance is literally my villain origin story
sarcastic,0.43,emails,I love how emails ruins everything.
genz,0.23,work-life balance,work-life balance is literally my villain origin story
dark,0.59,meetings,"Another day, another round of meetings."
dark,0.29,burnout,burnout never forgets. Never forgives.
sarcastic,0.92,monday mornings,I love how monday mornings ruins everything.
wholesome,0.32,presentations,"No matter what, presentations doesn’t define your worth."
genz,0.59,presentations,presentations but make it emotionally exhausting.
sarcastic,0.72,job applications,Nothing screams success like job applications.
genz,0.2,work-life balance,work-life balance?? nah bestie
corporate,0.98,side hustles,Optimizing bandwidth to address side hustles.
sarcastic,0.3,monday mornings,I love how monday mornings ruins everything.
wholesome,0.37,procrastination,You’re stronger than procrastination.
wholesome,0.87,exams,"exams is hard, but you’re doing your best."
dark,0.26,emails,"Another day, another round of emails."
sarcastic,0.22,job applications,Nothing screams success like job applications.
dark,0.55,office politics,office politics never forgets. Never forgives.
wholesome,0.73,group projects,One step at a time with group projects. You’ve got this.
wholesome,0.55,exams,You’re stronger than exams.
dark,0.31,exams,"Eventually, exams gets us all."
wholesome,0.27,presentations,"No matter what, presentations doesn’t define your worth."
corporate,0.5,presentations,Optimizing bandwidth to address presentations.
sarcastic,0.55,exams,"exams? Yeah, what could possibly go wrong."
genz,0.91,work-life balance,work-life balance is literally my villain origin story
wholesome,0.35,work-life balance,"No matter what, work-life balance doesn’t define your worth."
wholesome,0.55,job applications,"job applications is hard, but you’re doing your best."
corporate,0.64,office politics,Leveraging office politics for improved outcomes.
dark,0.79,side hustles,side hustles never forgets. Never forgives.
corporate,0.44,exams,Driving synergies to resolve exams.
dark,0.37,group projects,"Eventually, group projects gets us all."
corporate,0.92,office politics,Optimizing bandwidth to address office politics.
genz,0.79,interviews,interviews but make it emotionally exhausting.
wholesome,0.83,presentations,"presentations is hard, but you’re doing your best."
wholesome,0.37,startups,You’re stronger than startups.
wholesome,0.89,office politics,One step at a time with office politics. You’ve got this.
genz,0.64,monday mornings,monday mornings?? nah bestie
genz,0.25,work-life balance,me dealing with work-life balance: absolutely not.
dark,0.8,meetings,meetings is just a reminder that time is winning.
wholesome,0.51,job applications,You’re stronger than job applications.
genz,0.83,emails,emails is literally my villain origin story
corporate,0.56,meetings,Aligning stakeholders around meetings.
genz,0.59,startups,startups but make it emotionally exhausting.
dark,0.81,side hustles,side hustles is just a reminder that time is winning.
corporate,0.36,interviews,Leveraging interviews for improved outcomes.
corporate,0.53,presentations,Aligning stakeholders around presentations.
wholesome,0.97,emails,"emails is hard, but you’re doing your best."
sarcastic,0.99,burnout,I love how burnout ruins everything.
wholesome,0.89,salary negotiations,You’re stronger than salary negotiations.
dark,0.61,college life,college life is just a reminder that time is winning.
wholesome,0.3,college life,One step at a time with college life. You’ve got this.
wholesome,0.57,deadlines,You’re stronger than deadlines.
genz,0.6,college life,college life is literally my villain origin story
corporate,0.36,college life,Driving synergies to resolve college life.
sarcastic,0.61,work-life balance,"work-life balance? Yeah, what could possibly go wrong."
corporate,0.62,group projects,Leveraging group projects for improved outcomes.
genz,0.3,long commutes,me dealing with long commutes: absolutely not.
sarcastic,0.61,job applications,"Oh sure, because job applications always works perfectly."
sarcastic,0.84,deadlines,"deadlines? Yeah, what could possibly go wrong."
genz,0.21,procrastination,procrastination?? nah bestie
dark,0.85,procrastination,procrastination is just a reminder that time is winning.
sarcastic,0.9,side hustles,Nothing screams success like side hustles.
sarcastic,0.58,side hustles,"side hustles? Yeah, what could possibly go wrong."
genz,0.66,presentations,me dealing with presentations: absolutely not.
dark,0.56,college life,"Another day, another round of college life."
genz,0.86,burnout,me dealing with burnout: absolutely not.
sarcastic,0.94,work-life balance,Nothing screams success like work-life balance.
sarcastic,0.64,college life,Nothing screams success like college life.
sarcastic,0.94,office politics,"office politics? Yeah, what could possibly go wrong."
wholesome,0.22,waking up early,You’re stronger than waking up early.
wholesome,0.96,office politics,You’re stronger than office politics.
wholesome,0.21,work-life balance,"work-life balance is hard, but you’re doing your best."
sarcastic,0.95,burnout,I love how burnout ruins everything.
wholesome,0.26,job applications,One step at a time with job applications. You’ve got this.
corporate,0.29,startups,Optimizing bandwidth to address startups.
wholesome,0.8,job applications,"No matter what, job applications doesn’t define your worth."
sarcastic,0.4,long commutes,"long commutes? Yeah, what could possibly go wrong."
dark,0.32,deadlines,deadlines is just a reminder that time is winning.
wholesome,0.83,meetings,One step at a time with meetings. You’ve got this.
sarcastic,0.66,work-life balance,"work-life balance? Yeah, what could possibly go wrong."
dark,0.38,procrastination,"Another day, another round of procrastination."
